drug_city_2022,Prscrbr_State_Abrvtn,POPESTIMATE2022,total_prescriptions_2022,avg_aqi_2022,all_prescriptions_2022,asthma_fraction_2022,rate_per_1000_2022,total_cost_all_2022,total_cost_asthma_2022,asthma_cost_fraction_2022
Aberdeen,SD,42018,6691,25.834285714285713,239476,0.02794016936979071,159.24127754771763,13678401,535701.07,0.03916401266493064
Aberdeen,WA,77080,4710,25.136986301369863,99734,0.04722562014959793,61.10534509600416,4576307.43,447993.35,0.097894067838008
Ada,OK,38074,15297,38.774193548387096,349787,0.04373232853136337,401.7702369070757,23597530.58,1192783.68,0.05054697041100307
Adrian,MI,98284,7842,44.97260273972603,167491,0.046820426172152534,79.78918236945994,9034620.03,1333266.49,0.14757305626277678
Akron,OH,698506,62482,46.45303867403315,1225706,0.05097633527126407,89.45091380746908,98555019.07,8362778.99,0.08485391275770772
Albany,GA,145873,33435,49.57541899441341,745464,0.04485126042303854,229.20622733473638,59859799.77,4486532.86,0.07495068271592382
Albany,NY,904216,52054,41.772602739726025,1376017,0.03782947449050411,57.56810319658135,184454915.81,7285100.04,0.039495288092533706
Albany,OR,130516,9882,38.46027397260274,232002,0.04259446039258282,75.71485488369242,8358613.74,1057970.8,0.1265725194283233
Albuquerque,NM,920200,116935,70.73424657534247,2367492,0.04939193036343945,127.07563573136274,180008138.51,13013788.07,0.07229555384395604
Alexandria,LA,148999,26054,39.54621848739496,812830,0.03205344290934144,174.86023396130176,55126838.26,3528444.18,0.0640059232738591
Alexandria,VA,155235,16330,52.30958904109589,398226,0.04100686544826305,105.19534898701968,32722504.89,1644238.75,0.05024794879020644
Allen,TX,889799,10559,48.8027397260274,169413,0.06232697608802158,11.866724956984667,13979468.67,2075471.43,0.1484656877162986
Allentown,PA,871414,68039,48.73424657534247,1566029,0.043446832721488554,78.0788465643196,150105573.88,8576577.68,0.05713697005586506
Altoona,PA,120796,29090,44.192837465564736,739159,0.03935553784774318,240.81923242491473,62448910.4,5137568.05,0.08226833770345494
Amarillo,TX,270751,43359,49.36164383561644,1183456,0.03663761052375416,160.1434528404327,88821999.19,6118260.36,0.06888226358103436
Americus,GA,33383,7219,36.10504201680672,191126,0.037770894593095655,216.24779079172032,6959642.57,368758.4,0.05298524978704474
Anacortes,WA,131229,3105,36.082191780821915,103637,0.02996034234877505,23.66092860571977,3846428.77,271673.88,0.07063016014202701
Anaheim,CA,3158489,50819,85.84931506849315,1427175,0.03560810692451872,16.089655528323828,100784484.67,3974371.78,0.03943436128103784
Anchorage,AK,287520,25166,32.16712328767123,663999,0.03790065948894501,87.52782415136339,63845815.48,3441376.3,0.05390136023993659
Anderson,SC,210069,40495,50.1972602739726,770082,0.05258530909695331,192.76999462081505,57621580.15,5048546.22,0.08761554623905954
Ann Arbor,MI,367947,39379,48.00547945205479,1156975,0.034036171913827004,107.02356589400104,206999830.11,4863559.4,0.023495475321962812
Appleton,WI,245306,31912,43.52054794520548,742797,0.0429619398032033,130.09058074405027,47898942.18,4780596.85,0.09980589617271585
Arcata,CA,135013,4063,26.92054794520548,79442,0.051144231011303845,30.09339841348611,4532929.8,315575.79,0.06961850368827684
Ardmore,OK,48488,13879,47.85205479452055,290068,0.04784740129900575,286.2357696749711,13964281.71,1631902.71,0.11686263166915156
Arkadelphia,AR,21136,3216,34.61432506887052,90900,0.03537953795379538,152.1574564723694,2584947.16,230908.8,0.08932824762267093
Arlington,TX,7973603,48980,66.52602739726028,1047804,0.04674538367862692,6.142768833612609,75812568.91,4499924.74,0.059355919535480105
Artesia,NM,60221,2360,57.37534246575343,50284,0.04693341818471084,39.18898723036814,997779.7,129395.58,0.1296835163112659
